ID,population_2017
"illinois,johnson",12425
"illinois,kane",533156
"illinois,kankakee",110544
"illinois,kendall",126272
"illinois,knox",50628
"illinois,la salle",703006
"illinois,lake",109681
"illinois,lawrence",16000
"illinois,lee",34511
"illinois,livingston",36115
"illinois,logan",29015
"illinois,macon",30323
"illinois,macoupin",308013
"illinois,madison",172845
"illinois,marion",105533
"illinois,marshall",45515
"illinois,mason",265471
"illinois,massac",37821
"illinois,mcdonough",11685
"illinois,mchenry",13688
"illinois,mclean",14312
"illinois,menard",12286
"illinois,mercer",15623
"illinois,monroe",34159
"illinois,montgomery",28755
"illinois,morgan",34199
"illinois,moultrie",14703
"illinois,ogle",51032
"illinois,peoria",182578
"illinois,perry",21297
"illinois,piatt",16456
"illinois,pike",15672
"illinois,pope",4194
"illinois,pulaski",5541
"illinois,putnam",5718
"illinois,randolph",32264
"illinois,richland",15848
"illinois,rock island",144293
"illinois,saline",262426
"illinois,sangamon",24035
"illinois,schuyler",196889
"illinois,scott",6976
"illinois,shelby",4978
"illinois,st clair",21752
"illinois,stark",5457
"illinois,stephenson",44981
"illinois,tazewell",133391
"illinois,union",16985
"illinois,vermilion",77776
"illinois,wabash",11550
"illinois,warren",17170
"illinois,washington",13951
"illinois,wayne",16442
"illinois,white",13925
"illinois,whiteside",55947
"illinois,will",691017
"illinois,williamson",67107
"illinois,winnebago",284740
"illinois,woodford",38699
"indiana,adams",35422
"indiana,allen",372210
"indiana,bartholomew",82429
"indiana,benton",8617
"indiana,blackford",12027
"indiana,boone",65786
"indiana,brown",14999
"indiana,carroll",20050
"indiana,cass",37905
"indiana,clark",116672
"indiana,clay",26155
"indiana,clinton",32207
"indiana,crawford",10536
"indiana,daviess",33074
"indiana,de kalb",49629
"indiana,dearborn",26652
"indiana,decatur",42822
"indiana,delaware",115389
"indiana,dubois",42491
"indiana,elkhart",204310
"indiana,fayette",23153
"indiana,floyd",76970
"indiana,fountain",16410
"indiana,franklin",22739
"indiana,fulton",20010
"indiana,gibson",33622
"indiana,grant",66282
"indiana,greene",32180
"indiana,hamilton",323082
"indiana,hancock",74940
"indiana,harrison",39851
"indiana,hendricks",163758
"indiana,henry",48247
"indiana,howard",82311
"indiana,huntington",36239
"indiana,jackson",43987
"indiana,jasper",33459
"indiana,jay",20907
"indiana,jefferson",32047
"indiana,jennings",27638
"indiana,johnson",153922
"indiana,knox",37094
"indiana,kosciusko",79010
"indiana,la porte",39222
"indiana,lagrange",484766
"indiana,lake",109911
"indiana,lawrence",45625
"indiana,madison",129460
"indiana,marion",948952
"indiana,marshall",46460
"indiana,martin",10186
"indiana,miami",35827
"indiana,monroe",146720
"indiana,montgomery",38397
"indiana,morgan",69810
"indiana,newton",14041
"indiana,noble",47384
"indiana,ohio",5845
"indiana,orange",19404
"indiana,owen",20793
"indiana,parke",16903
"indiana,perry",18988
"indiana,pike",12332
"indiana,porter",168544
"indiana,posey",25566
"indiana,pulaski",12518
"indiana,putnam",37610
"indiana,randolph",24954
